281 2137
111 113 1.84
112 113 1.84
114 115 1.84
114 116 2.84
114 117 1.84
114 118 2.84
114 119 1.84
114 120 1.84
114 121 1.84
114 122 1.84
114 123 1.84
114 124 1.84
114 125 1.84
114 126 1.84
115 116 2.84
115 117 1.84
115 118 2.84
115 119 1.84
115 120 1.84
115 121 1.84
115 122 1.84
115 123 1.84
115 124 1.84
115 125 1.84
115 126 1.84
116 117 2.84
116 118 4.84
116 119 2.84
116 120 2.84
116 121 2.84
116 122 2.84
116 123 2.84
116 116 1.84
116 124 2.84
116 125 2.84
116 126 2.84
117 118 2.84
117 119 1.84
117 120 1.84
117 121 1.84
117 122 1.84
117 123 1.84
117 124 1.84
117 125 1.84
117 126 1.84
118 119 2.84
118 120 2.84
118 121 2.84
118 122 2.84
118 123 2.84
118 118 1.84
118 124 2.84
118 125 2.84
118 126 2.84
119 120 1.84
119 121 1.84
119 122 1.84
119 123 1.84
119 124 1.84
119 125 1.84
119 126 1.84
120 121 1.84
120 122 1.84
120 123 1.84
120 124 1.84
120 125 1.84
120 126 1.84
121 122 1.84
121 123 1.84
121 124 1.84
121 125 1.84
121 126 1.84
122 123 1.84
122 124 1.84
122 125 1.84
122 126 1.84
123 124 1.84
123 125 1.84
123 126 1.84
124 125 1.84
124 126 1.84
125 126 1.84
127 128 1.84
127 3 3.78666666667
127 22 1.84
127 129 1.68
127 130 1.84
127 131 1.84
127 132 1.36
127 133 1.68
127 5 1.84
127 134 1.84
127 135 1.84
127 136 1.84
127 137 1.84
128 3 2.76
128 22 1.84
128 129 1.68
128 130 1.84
128 131 1.84
128 132 1.36
128 133 1.68
128 5 1.84
128 134 1.84
128 135 1.84
128 136 1.84
128 137 1.84
3 22 2.76
3 129 2.76
3 130 2.76
3 131 2.76
3 132 2.44
3 133 2.76
3 3 1.68
3 134 2.76
3 135 2.76
3 136 2.76
3 137 2.76
22 129 1.68
22 130 1.84
22 131 1.84
22 132 1.36
22 133 1.68
22 5 1.84
22 134 1.84
22 135 1.84
22 136 1.84
22 137 1.84
129 130 1.68
129 131 1.68
129 132 1.52
129 133 1.84
129 5 1.68
129 134 1.68
129 135 1.68
129 136 1.68
129 137 1.68
130 131 1.84
130 132 1.36
130 133 1.68
130 5 1.84
130 134 1.84
130 135 1.84
130 136 1.84
130 137 1.84
131 132 1.36
131 133 1.68
131 5 1.84
131 134 1.84
131 135 1.84
131 136 1.84
131 137 1.84
132 133 1.52
132 5 1.36
132 134 1.36
132 135 1.36
132 136 1.36
132 137 1.36
133 5 1.68
133 134 1.68
133 135 1.68
133 136 1.68
133 137 1.68
5 134 1.84
5 135 1.84
5 136 1.84
5 137 1.84
134 135 1.84
134 136 1.84
134 137 1.84
135 136 1.84
135 137 1.84
136 137 1.84
138 139 1.84
138 3 1.84
138 140 1.84
138 141 1.84
138 142 1.84
138 127 1.84
138 143 1.68
138 144 1.84
138 145 1.84
138 146 1.84
138 147 1.84
138 148 1.84
138 149 1.84
138 150 1.84
139 3 1.84
139 140 1.84
139 141 1.84
139 142 1.84
139 127 1.84
139 143 1.68
139 144 1.84
139 145 1.84
139 146 1.84
139 147 1.84
139 148 1.84
139 149 1.84
139 150 1.84
3 140 1.84
3 141 1.84
3 142 1.84
3 143 1.68
3 144 1.84
3 145 1.84
3 146 2.84
3 147 1.84
3 148 1.84
3 149 1.84
3 150 1.84
140 141 1.84
140 142 1.84
140 127 1.84
140 143 1.68
140 144 1.84
140 145 1.84
140 146 1.84
140 147 1.84
140 148 1.84
140 149 1.84
140 150 1.84
141 142 1.84
141 127 1.84
141 143 1.68
141 144 1.84
141 145 1.84
141 146 1.84
141 147 1.84
141 148 1.84
141 149 1.84
141 150 1.84
142 127 1.84
142 143 1.68
142 144 1.84
142 145 1.84
142 146 1.84
142 147 1.84
142 148 1.84
142 149 1.84
142 150 1.84
127 143 1.68
127 144 1.84
127 145 1.84
127 146 1.84
127 147 1.84
127 148 1.84
127 149 1.84
127 150 1.84
143 144 1.68
143 145 1.68
143 146 1.68
143 147 1.68
143 148 1.68
143 149 1.68
143 150 1.68
144 145 1.84
144 146 1.84
144 147 1.84
144 148 1.84
144 149 1.84
144 150 1.84
145 146 1.84
145 147 1.84
145 148 1.84
145 149 1.84
145 150 1.84
146 147 1.84
146 148 1.84
146 149 1.84
146 150 1.84
147 148 1.84
147 149 1.84
147 150 1.84
148 149 1.84
148 150 1.84
149 150 1.84
41 151 1.68
41 152 1.68
41 153 1.68
41 154 1.68
41 155 1.84
41 156 1.52
41 157 1.68
41 122 1.84
41 158 1.84
41 159 1.68
41 160 1.68
41 161 1.84
41 162 1.68
41 163 1.36
151 152 1.84
151 153 1.84
151 154 1.84
151 155 1.68
151 156 1.36
151 157 1.84
151 122 1.68
151 158 1.68
151 159 1.84
151 160 1.52
151 161 1.68
151 162 1.84
151 163 1.2
152 153 1.84
152 154 1.84
152 155 1.68
152 156 1.36
152 157 1.84
152 122 1.68
152 158 1.68
152 159 1.84
152 160 1.52
152 161 1.68
152 162 1.84
152 163 1.2
153 154 1.84
153 155 1.68
153 156 1.36
153 157 1.84
153 122 1.68
153 158 1.68
153 159 1.84
153 160 1.52
153 161 1.68
153 162 1.84
153 163 1.2
154 155 1.68
154 156 1.36
154 157 1.84
154 122 1.68
154 158 1.68
154 159 1.84
154 160 1.52
154 161 1.68
154 162 1.84
154 163 1.2
155 156 1.52
155 157 1.68
155 122 1.84
155 158 1.84
155 159 1.68
155 160 1.68
155 161 1.84
155 162 1.68
155 163 1.36
156 157 1.36
